날짜,합계,징수 차량 소계,현금 징수 소계,일반차량 현금 징수,경차 현금 징수,전자태그 현금 징수,카드(선불후불) 소계,일반차량 카드(선불후불) 징수 소계,경차 카드(선불후불) 징수 소계,전자태그 카드(선불후불) 징수 소계,선불카드 징수 소계,일반차량 선불카드 징수,경차 선불카드 징수,전자태그 선불카드 징수,후불카드 징수 소계,일반차량 후불카드 징수,경차 후불카드 징수,전자태그 후불카드 징수,쿠폰 징수 소계,일반차량 쿠폰 징수,경차 쿠폰 징수,전자태그 쿠폰 징수,미징수 차량 소계,미납차량 미징수,면제차량 소계,일반 면제차량 미징수,전자태그 면제차량 미징수,환불건수,비고
2021-06-01,73258,31566,9244,8761,483,0,22320,21509,779,32,3512,3409,73,30,18808,18100,706,2,2,2,0,0,41692,373,41319,37282,4037,28,
2021-06-02,73391,31620,9382,8912,470,0,22235,21408,792,35,3546,3441,71,34,18689,17967,721,1,3,3,0,0,41771,347,41424,37445,3979,31,
2021-06-03,71921,31197,8918,8487,430,1,22277,21473,787,17,3563,3465,82,16,18714,18008,705,1,2,2,0,0,40724,380,40344,36408,3936,23,
2021-06-04,73810,32009,9371,8907,463,1,22633,21777,830,26,3513,3408,81,24,19120,18369,749,2,5,5,0,0,41801,398,41403,37488,3915,30,
2021-06-07,71461,30903,8959,8524,434,1,21943,21144,776,23,3680,3593,66,21,18263,17551,710,2,1,1,0,0,40558,374,40184,36154,4030,21,
2021-06-08,73515,31777,9286,8866,420,0,22490,21674,783,33,3608,3513,65,30,18882,18161,718,3,1,1,0,0,41738,380,41358,37268,4090,37,
2021-06-09,74034,32322,9306,8835,471,0,23015,22147,844,24,3512,3416,73,23,19503,18731,771,1,1,1,0,0,41712,369,41343,37100,4243,34,
2021-06-10,74212,31944,9287,8796,489,2,22656,21829,803,24,3576,3474,80,22,19080,18355,723,2,1,1,0,0,42268,363,41905,37829,4076,25,
2021-06-11,73692,31904,9443,8934,508,1,22458,21591,846,21,3459,3361,80,18,18999,18230,766,3,3,3,0,0,41788,387,41401,37455,3946,30,
2021-06-14,71055,31027,8859,8380,479,0,22166,21356,782,28,3573,3476,70,27,18593,17880,712,1,2,2,0,0,40028,364,39664,35634,4030,19,
2021-06-15,73257,31865,9384,8933,449,2,22478,21669,783,26,3605,3514,66,25,18873,18155,717,1,3,3,0,0,41392,339,41053,36890,4163,32,
2021-06-16,74368,32885,9518,9081,437,0,23364,22489,847,28,3728,3628,73,27,19636,18861,774,1,3,3,0,0,41483,386,41097,36717,4380,28,
2021-06-17,73908,31819,9275,8823,452,0,22543,21669,848,26,3553,3458,69,26,18990,18211,779,0,1,1,0,0,42089,342,41747,37529,4218,28,
2021-06-18,73451,32537,9464,8987,477,0,23071,22230,821,20,3534,3448,68,18,19537,18782,753,2,2,2,0,0,40914,433,40481,36424,4057,38,
2021-06-21,74043,32628,9594,9103,491,0,23030,22151,858,21,3824,3717,88,19,19206,18434,770,2,4,4,0,0,41415,355,41060,36664,4396,34,
2021-06-22,73644,31853,9172,8742,428,2,22678,21822,834,22,3624,3534,71,19,19054,18288,763,3,3,3,0,0,41791,391,41400,37202,4198,21,
2021-06-23,73016,31622,9242,8796,446,0,22375,21584,771,20,3593,3505,70,18,18782,18079,701,2,5,5,0,0,41394,380,41014,36759,4255,25,
2021-06-24,75117,32368,9415,8957,458,0,22949,22135,790,24,3608,3515,71,22,19341,18620,719,2,4,4,0,0,42749,358,42391,38152,4239,25,
2021-06-25,73841,31564,9269,8769,500,0,22292,21472,798,22,3463,3363,79,21,18829,18109,719,1,3,3,0,0,42277,389,41888,37831,4057,41,
2021-06-28,71623,30991,8886,8406,480,0,22100,21262,818,20,3705,3599,89,17,18395,17663,729,3,5,5,0,0,40632,416,40216,36083,4133,23,
2021-06-29,74061,31746,9290,8843,447,0,22452,21626,798,28,3697,3596,78,23,18755,18030,720,5,4,4,0,0,42315,377,41938,37906,4032,26,
2021-06-30,73056,31448,8971,8497,474,0,22475,21665,784,26,3655,3552,79,24,18820,18113,705,2,2,2,0,0,41608,353,41255,37009,4246,20,
